Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-04-04,2026,Allsvenskan,Hammarby FF,Mjallby AIF,3 - 0,2 - 0,1,3,Yok
2026-04-04,2026,Allsvenskan,Degerfors IF,Sirius,0 - 3,0 - 0,2,3,Yok
2026-04-05,2026,Allsvenskan,Kalmar FF,Vasteras SK FK,0 - 1,0 - 1,2,1,Yok
2026-04-05,2026,Allsvenskan,AIK Stockholm,Halmstad,2 - 1,1 - 0,1,3,Evet
2026-04-05,2026,Allsvenskan,Orgryte IS,Malmo FF,1 - 1,0 - 0,X,2,Evet
2026-04-06,2026,Allsvenskan,BK Hacken,IF Brommapojkarna,2 - 2,0 - 1,X,4,Evet
2026-04-06,2026,Allsvenskan,IF Elfsborg,IFK Goteborg,2 - 0,0 - 0,1,2,Yok
2026-04-06,2026,Allsvenskan,Gais,Djurgardens IF,0 - 1,0 - 0,2,1,Yok
2026-04-11,2026,Allsvenskan,IFK Goteborg,BK Hacken,0 - 2,0 - 1,2,2,Yok
2026-04-11,2026,Allsvenskan,Mjallby AIF,Orgryte IS,0 - 2,0 - 2,2,2,Yok
2026-04-11,2026,Allsvenskan,Vasteras SK FK,IF Elfsborg,2 - 2,0 - 0,X,4,Evet
2026-04-12,2026,Allsvenskan,Djurgardens IF,Kalmar FF,3 - 2,2 - 2,1,5,Evet
2026-04-12,2026,Allsvenskan,Halmstad,Degerfors IF,0 - 3,0 - 1,2,3,Yok
2026-04-12,2026,Allsvenskan,Malmo FF,Gais,3 - 1,3 - 0,1,4,Evet
2026-04-13,2026,Allsvenskan,Sirius,Hammarby FF,2 - 0,1 - 0,1,2,Yok
2026-04-13,2026,Allsvenskan,IF Brommapojkarna,AIK Stockholm,2 - 2,0 - 0,X,4,Evet
2026-04-17,2026,Allsvenskan,Djurgardens IF,Malmo FF,0 - 1,0 - 0,2,1,Yok
2026-04-17,2026,Allsvenskan,Degerfors IF,IF Elfsborg,0 - 1,0 - 0,2,1,Yok
2026-04-18,2026,Allsvenskan,Hammarby FF,Orgryte IS,8 - 1,4 - 1,1,9,Evet
2026-04-18,2026,Allsvenskan,Sirius,Vasteras SK FK,4 - 1,3 - 0,1,5,Evet
2026-04-18,2026,Allsvenskan,Halmstad,IFK Goteborg,1 - 1,0 - 0,X,2,Evet
2026-04-18,2026,Allsvenskan,Mjallby AIF,IF Brommapojkarna,3 - 0,3 - 0,1,3,Yok
2026-04-19,2026,Allsvenskan,AIK Stockholm,Kalmar FF,1 - 0,1 - 0,1,1,Yok
2026-04-19,2026,Allsvenskan,BK Hacken,Gais,2 - 1,0 - 0,1,3,Evet
2026-04-22,2026,Allsvenskan,Hammarby FF,Halmstad,1 - 1,0 - 1,X,2,Evet
2026-04-22,2026,Allsvenskan,IF Elfsborg,Djurgardens IF,2 - 1,1 - 1,1,3,Evet
2026-04-22,2026,Allsvenskan,Orgryte IS,IF Brommapojkarna,1 - 2,0 - 1,2,3,Evet
2026-04-22,2026,Allsvenskan,Vasteras SK FK,BK Hacken,3 - 3,2 - 1,X,6,Evet
2026-04-23,2026,Allsvenskan,Kalmar FF,IFK Goteborg,1 - 1,1 - 1,X,2,Evet
2026-04-23,2026,Allsvenskan,Malmo FF,Sirius,2 - 3,0 - 1,2,5,Evet
2026-04-23,2026,Allsvenskan,Gais,Mjallby AIF,0 - 0,0 - 0,X,0,Yok
2026-04-23,2026,Allsvenskan,Degerfors IF,AIK Stockholm,2 - 1,1 - 1,1,3,Evet
2026-04-26,2026,Allsvenskan,Djurgardens IF,Hammarby FF,1 - 1,1 - 0,X,2,Evet
2026-04-26,2026,Allsvenskan,IFK Goteborg,Gais,2 - 2,1 - 0,X,4,Evet
2026-04-26,2026,Allsvenskan,IF Brommapojkarna,Vasteras SK FK,1 - 2,1 - 1,2,3,Evet
2026-04-27,2026,Allsvenskan,BK Hacken,Sirius,2 - 2,2 - 1,X,4,Evet
2026-04-27,2026,Allsvenskan,Kalmar FF,IF Elfsborg,2 - 1,1 - 1,1,3,Evet
2026-04-27,2026,Allsvenskan,AIK Stockholm,Malmo FF,0 - 1,0 - 1,2,1,Yok
2026-04-27,2026,Allsvenskan,Orgryte IS,Degerfors IF,1 - 1,0 - 0,X,2,Evet
2026-04-27,2026,Allsvenskan,Mjallby AIF,Halmstad,2 - 0,0 - 0,1,2,Yok
2026-05-02,2026,Allsvenskan,Sirius,Kalmar FF,3 - 2,0 - 2,1,5,Evet
2026-05-02,2026,Allsvenskan,Degerfors IF,BK Hacken,1 - 1,0 - 1,X,2,Evet
2026-05-03,2026,Allsvenskan,Hammarby FF,Vasteras SK FK,3 - 0,0 - 0,1,3,Yok
2026-05-03,2026,Allsvenskan,Malmo FF,Mjallby AIF,2 - 3,0 - 1,2,5,Evet
2026-05-03,2026,Allsvenskan,IF Elfsborg,AIK Stockholm,1 - 1,1 - 1,X,2,Evet
2026-05-03,2026,Allsvenskan,Gais,Orgryte IS,4 - 0,1 - 0,1,4,Yok
