Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-07-31,2026,Bundesliga,Lask Linz,Grazer AK,3 - 0,2 - 0,1,3,Yok
2026-08-01,2026,Bundesliga,WSG Wattens,Sturm Graz,1 - 1,1 - 1,X,2,Evet
2026-08-01,2026,Bundesliga,Red Bull Salzburg,TSV Hartberg,1 - 0,0 - 0,1,1,Yok
2026-08-02,2026,Bundesliga,Wolfsberger AC,Austria Vienna,3 - 0,1 - 0,1,3,Yok
2026-08-02,2026,Bundesliga,Austria Lustenau,Ried,1 - 1,1 - 1,X,2,Evet
2026-08-02,2026,Bundesliga,Rapid Vienna,SCR Altach,1 - 0,1 - 0,1,1,Yok
2026-08-07,2026,Bundesliga,SCR Altach,WSG Wattens,3 - 1,1 - 1,1,4,Evet
2026-08-08,2026,Bundesliga,Grazer AK,Austria Lustenau,2 - 1,1 - 0,1,3,Evet
2026-08-08,2026,Bundesliga,TSV Hartberg,Sturm Graz,0 - 2,0 - 0,2,2,Yok
2026-08-09,2026,Bundesliga,Wolfsberger AC,Red Bull Salzburg,1 - 1,0 - 0,X,2,Evet
2026-08-09,2026,Bundesliga,Ried,Rapid Vienna,1 - 2,0 - 1,2,3,Evet
2026-08-09,2026,Bundesliga,Austria Vienna,Lask Linz,0 - 2,0 - 0,2,2,Yok
2026-08-14,2026,Bundesliga,Lask Linz,Ried,4 - 1,3 - 1,1,5,Evet
2026-08-15,2026,Bundesliga,Austria Lustenau,Wolfsberger AC,2 - 1,2 - 1,1,3,Evet
2026-08-15,2026,Bundesliga,Sturm Graz,SCR Altach,1 - 0,0 - 0,1,1,Yok
2026-08-16,2026,Bundesliga,TSV Hartberg,Austria Vienna,0 - 2,0 - 1,2,2,Yok
2026-08-16,2026,Bundesliga,WSG Wattens,Red Bull Salzburg,0 - 3,0 - 2,2,3,Yok
2026-08-16,2026,Bundesliga,Rapid Vienna,Grazer AK,8 - 0,5 - 0,1,8,Yok
2026-08-21,2026,Bundesliga,Ried,Grazer AK,1 - 0,1 - 0,1,1,Yok
2026-08-22,2026,Bundesliga,SCR Altach,TSV Hartberg,1 - 2,0 - 1,2,3,Evet
2026-08-22,2026,Bundesliga,Sturm Graz,Austria Lustenau,1 - 1,0 - 1,X,2,Evet
2026-08-28,2026,Bundesliga,Austria Lustenau,WSG Wattens,0 - 4,0 - 1,2,4,Yok
2026-08-29,2026,Bundesliga,Grazer AK,Wolfsberger AC,0 - 0,0 - 0,X,0,Yok
2026-08-29,2026,Bundesliga,Lask Linz,SCR Altach,3 - 0,2 - 0,1,3,Yok
2026-08-30,2026,Bundesliga,Rapid Vienna,Sturm Graz,3 - 1,2 - 1,1,4,Evet
2026-08-30,2026,Bundesliga,TSV Hartberg,Ried,3 - 2,2 - 1,1,5,Evet
2026-08-30,2026,Bundesliga,Red Bull Salzburg,Austria Vienna,4 - 1,3 - 0,1,5,Evet
2026-09-01,2026,Bundesliga,Wolfsberger AC,Lask Linz,1 - 3,1 - 0,2,4,Evet
