Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-08-28,2026,Bundesliga,Bayern München,VfB Stuttgart,5 - 1,1 - 0,1,6,Evet
2026-08-29,2026,Bundesliga,FSV Mainz 05,SC Paderborn 07,0 - 0,0 - 0,X,0,Yok
2026-08-29,2026,Bundesliga,RB Leipzig,Borussia Mönchengladbach,3 - 0,1 - 0,1,3,Yok
2026-08-29,2026,Bundesliga,Union Berlin,Eintracht Frankfurt,3 - 3,1 - 2,X,6,Evet
2026-08-29,2026,Bundesliga,1. FC Köln,1899 Hoffenheim,3 - 2,0 - 1,1,5,Evet
2026-08-29,2026,Bundesliga,SV Elversberg,Bayer Leverkusen,3 - 2,2 - 0,1,5,Evet
2026-08-29,2026,Bundesliga,Borussia Dortmund,Hamburger SV,2 - 0,2 - 0,1,2,Yok
2026-08-30,2026,Bundesliga,SC Freiburg,Werder Bremen,4 - 1,2 - 0,1,5,Evet
2026-08-30,2026,Bundesliga,FC Augsburg,FC Schalke 04,3 - 0,1 - 0,1,3,Yok
2026-09-04,2026,Bundesliga,VfB Stuttgart,1. FC Köln,4 - 1,1 - 0,1,5,Evet
2026-09-05,2026,Bundesliga,Werder Bremen,RB Leipzig,3 - 1,1 - 0,1,4,Evet
2026-09-05,2026,Bundesliga,Borussia Mönchengladbach,SV Elversberg,3 - 4,2 - 1,2,7,Evet
2026-09-05,2026,Bundesliga,1899 Hoffenheim,Borussia Dortmund,2 - 3,1 - 0,2,5,Evet
2026-09-05,2026,Bundesliga,Bayer Leverkusen,Union Berlin,4 - 0,2 - 0,1,4,Yok
2026-09-05,2026,Bundesliga,SC Paderborn 07,SC Freiburg,0 - 1,0 - 1,2,1,Yok
2026-09-05,2026,Bundesliga,FC Schalke 04,Bayern München,0 - 0,0 - 0,X,0,Yok
2026-09-06,2026,Bundesliga,Hamburger SV,FSV Mainz 05,0 - 5,0 - 2,2,5,Yok
2026-09-06,2026,Bundesliga,Eintracht Frankfurt,FC Augsburg,1 - 4,1 - 0,2,5,Evet
2026-09-11,2026,Bundesliga,Union Berlin,FC Schalke 04,1 - 3,0 - 1,2,4,Evet
2026-09-12,2026,Bundesliga,SC Freiburg,Borussia Mönchengladbach,5 - 0,2 - 0,1,5,Yok
2026-09-12,2026,Bundesliga,FSV Mainz 05,Eintracht Frankfurt,1 - 3,0 - 2,2,4,Evet
2026-09-12,2026,Bundesliga,Borussia Dortmund,SC Paderborn 07,3 - 0,1 - 0,1,3,Yok
2026-09-12,2026,Bundesliga,1899 Hoffenheim,VfB Stuttgart,2 - 1,1 - 0,1,3,Evet
2026-09-12,2026,Bundesliga,FC Augsburg,Bayer Leverkusen,2 - 2,0 - 1,X,4,Evet
2026-09-12,2026,Bundesliga,1. FC Köln,Werder Bremen,1 - 1,1 - 0,X,2,Evet
2026-09-13,2026,Bundesliga,RB Leipzig,Hamburger SV,5 - 0,2 - 0,1,5,Yok
2026-09-13,2026,Bundesliga,SV Elversberg,Bayern München,1 - 2,0 - 1,2,3,Evet
2026-09-18,2026,Bundesliga,Bayern München,Union Berlin,7 - 0,3 - 0,1,7,Yok
2026-09-19,2026,Bundesliga,Werder Bremen,FC Augsburg,3 - 2,0 - 1,1,5,Evet
2026-09-19,2026,Bundesliga,Borussia Mönchengladbach,FSV Mainz 05,3 - 4,1 - 2,2,7,Evet
2026-09-19,2026,Bundesliga,Eintracht Frankfurt,SC Freiburg,2 - 2,2 - 1,X,4,Evet
2026-09-19,2026,Bundesliga,Hamburger SV,1. FC Köln,2 - 1,1 - 0,1,3,Evet
2026-09-19,2026,Bundesliga,VfB Stuttgart,Borussia Dortmund,0 - 1,0 - 0,2,1,Yok
2026-09-20,2026,Bundesliga,Bayer Leverkusen,RB Leipzig,2 - 0,1 - 0,1,2,Yok
2026-09-20,2026,Bundesliga,FC Schalke 04,SV Elversberg,0 - 0,0 - 0,X,0,Yok
2026-09-20,2026,Bundesliga,SC Paderborn 07,1899 Hoffenheim,3 - 1,2 - 0,1,4,Evet
2025-08-22,2025,Bundesliga,Bayern München,RB Leipzig,6 - 0,3 - 0,1,6,Yok
2025-08-23,2025,Bundesliga,SC Freiburg,FC Augsburg,1 - 3,0 - 3,2,4,Evet
2025-08-23,2025,Bundesliga,Bayer Leverkusen,1899 Hoffenheim,1 - 2,1 - 1,2,3,Evet
2025-08-23,2025,Bundesliga,Eintracht Frankfurt,Werder Bremen,4 - 1,2 - 0,1,5,Evet
2025-08-23,2025,Bundesliga,1. FC Heidenheim,VfL Wolfsburg,1 - 3,1 - 1,2,4,Evet
2025-08-23,2025,Bundesliga,Union Berlin,VfB Stuttgart,2 - 1,2 - 0,1,3,Evet
2025-08-23,2025,Bundesliga,FC St. Pauli,Borussia Dortmund,3 - 3,0 - 1,X,6,Evet
2025-08-24,2025,Bundesliga,FSV Mainz 05,1. FC Köln,0 - 1,0 - 0,2,1,Yok
2025-08-24,2025,Bundesliga,Borussia Mönchengladbach,Hamburger SV,0 - 0,0 - 0,X,0,Yok
2025-08-29,2025,Bundesliga,Hamburger SV,FC St. Pauli,0 - 2,0 - 1,2,2,Yok
2025-08-30,2025,Bundesliga,Werder Bremen,Bayer Leverkusen,3 - 3,1 - 2,X,6,Evet
2025-08-30,2025,Bundesliga,1899 Hoffenheim,Eintracht Frankfurt,1 - 3,0 - 2,2,4,Evet
2025-08-30,2025,Bundesliga,VfB Stuttgart,Borussia Mönchengladbach,1 - 0,0 - 0,1,1,Yok
2025-08-30,2025,Bundesliga,RB Leipzig,1. FC Heidenheim,2 - 0,0 - 0,1,2,Yok
2025-08-30,2025,Bundesliga,FC Augsburg,Bayern München,2 - 3,0 - 2,2,5,Evet
2025-08-31,2025,Bundesliga,VfL Wolfsburg,FSV Mainz 05,1 - 1,1 - 0,X,2,Evet
2025-08-31,2025,Bundesliga,Borussia Dortmund,Union Berlin,3 - 0,1 - 0,1,3,Yok
2025-08-31,2025,Bundesliga,1. FC Köln,SC Freiburg,4 - 1,1 - 0,1,5,Evet
