Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-07-25,2026,Czech Liga,Plzen,Slovan Liberec,1 - 3,0 - 1,2,4,Evet
2026-07-25,2026,Czech Liga,Zlin,Baník Ostrava,0 - 1,0 - 0,2,1,Yok
2026-07-25,2026,Czech Liga,Teplice,Bohemians 1905,3 - 1,1 - 0,1,4,Evet
2026-07-25,2026,Czech Liga,Zbrojovka Brno,Sparta Praha,3 - 1,1 - 0,1,4,Evet
2026-07-26,2026,Czech Liga,Slavia Praha,Slovácko,5 - 1,4 - 1,1,6,Evet
2026-07-26,2026,Czech Liga,FK Jablonec,Sigma Olomouc,2 - 1,0 - 1,1,3,Evet
2026-07-26,2026,Czech Liga,Hradec Králové,Pardubice,2 - 1,1 - 0,1,3,Evet
2026-07-27,2026,Czech Liga,Artis,Mlada Boleslav,2 - 4,1 - 2,2,6,Evet
2026-07-31,2026,Czech Liga,Sparta Praha,Zlin,3 - 1,1 - 0,1,4,Evet
2026-08-01,2026,Czech Liga,Slovan Liberec,Teplice,0 - 1,0 - 0,2,1,Yok
2026-08-01,2026,Czech Liga,Baník Ostrava,Slavia Praha,0 - 4,0 - 3,2,4,Yok
2026-08-01,2026,Czech Liga,Slovácko,Artis,1 - 1,0 - 0,X,2,Evet
2026-08-01,2026,Czech Liga,Plzen,Zbrojovka Brno,1 - 1,1 - 0,X,2,Evet
2026-08-02,2026,Czech Liga,Sigma Olomouc,Mlada Boleslav,2 - 2,1 - 1,X,4,Evet
2026-08-02,2026,Czech Liga,Bohemians 1905,Hradec Králové,0 - 0,0 - 0,X,0,Yok
2026-08-02,2026,Czech Liga,Pardubice,FK Jablonec,0 - 2,0 - 2,2,2,Yok
2026-08-07,2026,Czech Liga,Zbrojovka Brno,Slovan Liberec,0 - 1,0 - 0,2,1,Yok
2026-08-08,2026,Czech Liga,Zlin,Bohemians 1905,0 - 2,0 - 1,2,2,Yok
2026-08-08,2026,Czech Liga,Teplice,Plzen,5 - 5,3 - 4,X,10,Evet
2026-08-08,2026,Czech Liga,Mlada Boleslav,Sparta Praha,2 - 0,2 - 0,1,2,Yok
2026-08-09,2026,Czech Liga,Slavia Praha,Pardubice,2 - 1,0 - 0,1,3,Evet
2026-08-09,2026,Czech Liga,FK Jablonec,Slovácko,1 - 0,0 - 0,1,1,Yok
