Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-07-24,2026,Ekstraklasa,Radomiak Radom,Wieczysta Kraków,2 - 1,1 - 0,1,3,Evet
2026-07-24,2026,Ekstraklasa,Pogon Szczecin,Legia Warszawa,0 - 1,0 - 0,2,1,Yok
2026-07-25,2026,Ekstraklasa,Jagiellonia,Korona Kielce,1 - 0,0 - 0,1,1,Yok
2026-07-25,2026,Ekstraklasa,Gornik Zabrze,Slask Wroclaw,2 - 1,0 - 1,1,3,Evet
2026-07-25,2026,Ekstraklasa,Lech Poznan,Cracovia Krakow,0 - 0,0 - 0,X,0,Yok
2026-07-26,2026,Ekstraklasa,Raków Częstochowa,Wisla Plock,1 - 2,0 - 1,2,3,Evet
2026-07-26,2026,Ekstraklasa,Widzew Łódź,Motor Lublin,2 - 2,2 - 1,X,4,Evet
2026-07-26,2026,Ekstraklasa,Wisla Krakow,GKS Katowice,2 - 1,0 - 0,1,3,Evet
2026-07-27,2026,Ekstraklasa,Zaglebie Lubin,Piast Gliwice,2 - 0,0 - 0,1,2,Yok
2026-07-31,2026,Ekstraklasa,Wisla Plock,Widzew Łódź,0 - 0,0 - 0,X,0,Yok
2026-07-31,2026,Ekstraklasa,Motor Lublin,Jagiellonia,1 - 2,0 - 1,2,3,Evet
2026-08-01,2026,Ekstraklasa,Piast Gliwice,Wisla Krakow,4 - 3,2 - 1,1,7,Evet
2026-08-01,2026,Ekstraklasa,Wieczysta Kraków,Lech Poznan,1 - 2,0 - 2,2,3,Evet
2026-08-02,2026,Ekstraklasa,Legia Warszawa,Zaglebie Lubin,3 - 1,1 - 1,1,4,Evet
2026-08-02,2026,Ekstraklasa,Slask Wroclaw,Raków Częstochowa,2 - 1,0 - 0,1,3,Evet
2026-08-02,2026,Ekstraklasa,GKS Katowice,Radomiak Radom,3 - 1,0 - 1,1,4,Evet
2026-08-03,2026,Ekstraklasa,Cracovia Krakow,Pogon Szczecin,0 - 2,0 - 0,2,2,Yok
2026-08-07,2026,Ekstraklasa,Wisla Krakow,Wisla Plock,2 - 1,2 - 1,1,3,Evet
2026-08-08,2026,Ekstraklasa,Radomiak Radom,Gornik Zabrze,1 - 3,0 - 2,2,4,Evet
2026-08-08,2026,Ekstraklasa,Pogon Szczecin,Motor Lublin,3 - 1,2 - 0,1,4,Evet
2026-08-08,2026,Ekstraklasa,Korona Kielce,Legia Warszawa,1 - 1,0 - 1,X,2,Evet
2026-08-09,2026,Ekstraklasa,Slask Wroclaw,Cracovia Krakow,0 - 0,0 - 0,X,0,Yok
2026-08-09,2026,Ekstraklasa,Lech Poznan,Piast Gliwice,3 - 0,0 - 0,1,3,Yok
2026-08-09,2026,Ekstraklasa,Jagiellonia,Widzew Łódź,0 - 2,0 - 0,2,2,Yok
2026-08-14,2026,Ekstraklasa,Legia Warszawa,Radomiak Radom,5 - 0,4 - 0,1,5,Yok
2026-08-15,2026,Ekstraklasa,Zaglebie Lubin,Slask Wroclaw,2 - 1,0 - 1,1,3,Evet
2026-08-15,2026,Ekstraklasa,Piast Gliwice,Wieczysta Kraków,3 - 4,0 - 1,2,7,Evet
2026-08-15,2026,Ekstraklasa,Widzew Łódź,Korona Kielce,1 - 2,1 - 2,2,3,Evet
2026-08-16,2026,Ekstraklasa,Motor Lublin,GKS Katowice,1 - 0,0 - 0,1,1,Yok
2026-08-16,2026,Ekstraklasa,Cracovia Krakow,Raków Częstochowa,2 - 1,0 - 1,1,3,Evet
2026-08-16,2026,Ekstraklasa,Gornik Zabrze,Wisla Krakow,2 - 1,1 - 0,1,3,Evet
2026-08-21,2026,Ekstraklasa,Cracovia Krakow,Wieczysta Kraków,3 - 2,1 - 1,1,5,Evet
2026-08-22,2026,Ekstraklasa,Korona Kielce,Motor Lublin,1 - 1,1 - 1,X,2,Evet
2026-08-22,2026,Ekstraklasa,Piast Gliwice,Legia Warszawa,1 - 1,0 - 1,X,2,Evet
2026-08-22,2026,Ekstraklasa,Slask Wroclaw,Widzew Łódź,3 - 3,0 - 2,X,6,Evet
2026-08-23,2026,Ekstraklasa,Radomiak Radom,Zaglebie Lubin,0 - 0,0 - 0,X,0,Yok
