Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-08-07,2026,Eredivisie,Cambuur,Excelsior,0 - 4,0 - 3,2,4,Yok
2026-08-08,2026,Eredivisie,NEC Nijmegen,Telstar,1 - 2,0 - 2,2,3,Evet
2026-08-08,2026,Eredivisie,GO Ahead Eagles,Willem II,4 - 1,1 - 1,1,5,Evet
2026-08-08,2026,Eredivisie,PSV Eindhoven,Fortuna Sittard,2 - 2,0 - 1,X,4,Evet
2026-08-08,2026,Eredivisie,AZ Alkmaar,ADO Den Haag,2 - 0,0 - 0,1,2,Yok
2026-08-09,2026,Eredivisie,Sparta Rotterdam,Feyenoord,0 - 1,0 - 1,2,1,Yok
2026-08-09,2026,Eredivisie,PEC Zwolle,Ajax,0 - 2,0 - 0,2,2,Yok
2026-08-09,2026,Eredivisie,Groningen,Utrecht,2 - 1,1 - 0,1,3,Evet
2026-08-09,2026,Eredivisie,Heerenveen,Twente,1 - 0,0 - 0,1,1,Yok
2026-08-14,2026,Eredivisie,Telstar,Sparta Rotterdam,1 - 3,0 - 1,2,4,Evet
2026-08-15,2026,Eredivisie,Willem II,NEC Nijmegen,1 - 4,0 - 1,2,5,Evet
2026-08-15,2026,Eredivisie,Utrecht,AZ Alkmaar,1 - 4,0 - 1,2,5,Evet
2026-08-15,2026,Eredivisie,Excelsior,PSV Eindhoven,1 - 2,0 - 1,2,3,Evet
2026-08-15,2026,Eredivisie,Fortuna Sittard,Cambuur,3 - 1,2 - 1,1,4,Evet
2026-08-16,2026,Eredivisie,ADO Den Haag,Groningen,1 - 4,0 - 3,2,5,Evet
2026-08-16,2026,Eredivisie,Feyenoord,GO Ahead Eagles,2 - 2,2 - 0,X,4,Evet
2026-08-16,2026,Eredivisie,Twente,PEC Zwolle,3 - 1,1 - 1,1,4,Evet
2026-08-16,2026,Eredivisie,Ajax,Heerenveen,2 - 2,2 - 1,X,4,Evet
2026-08-22,2026,Eredivisie,Fortuna Sittard,AZ Alkmaar,0 - 2,0 - 0,2,2,Yok
2026-08-22,2026,Eredivisie,Sparta Rotterdam,Utrecht,3 - 3,1 - 1,X,6,Evet
2026-08-22,2026,Eredivisie,Heerenveen,PEC Zwolle,0 - 2,0 - 0,2,2,Yok
2026-08-23,2026,Eredivisie,GO Ahead Eagles,ADO Den Haag,3 - 1,1 - 0,1,4,Evet
2026-08-23,2026,Eredivisie,PSV Eindhoven,Groningen,5 - 1,3 - 1,1,6,Evet
2026-08-23,2026,Eredivisie,Cambuur,Feyenoord,2 - 5,0 - 4,2,7,Evet
2026-08-28,2026,Eredivisie,Groningen,Fortuna Sittard,2 - 3,1 - 2,2,5,Evet
2026-08-29,2026,Eredivisie,Excelsior,Sparta Rotterdam,2 - 1,1 - 0,1,3,Evet
2026-08-29,2026,Eredivisie,AZ Alkmaar,GO Ahead Eagles,5 - 2,2 - 1,1,7,Evet
2026-08-29,2026,Eredivisie,PEC Zwolle,NEC Nijmegen,1 - 3,1 - 2,2,4,Evet
2026-08-30,2026,Eredivisie,Utrecht,PSV Eindhoven,1 - 6,1 - 2,2,7,Evet
2026-08-30,2026,Eredivisie,Willem II,Heerenveen,2 - 2,0 - 0,X,4,Evet
2026-08-30,2026,Eredivisie,Feyenoord,ADO Den Haag,2 - 2,0 - 1,X,4,Evet
2026-08-30,2026,Eredivisie,Telstar,Ajax,0 - 4,0 - 1,2,4,Yok
2026-08-30,2026,Eredivisie,Cambuur,Twente,1 - 4,0 - 2,2,5,Evet
2026-09-04,2026,Eredivisie,Sparta Rotterdam,PEC Zwolle,2 - 2,1 - 1,X,4,Evet
2026-09-05,2026,Eredivisie,NEC Nijmegen,Feyenoord,1 - 3,0 - 0,2,4,Evet
2026-09-05,2026,Eredivisie,Ajax,PSV Eindhoven,1 - 3,1 - 2,2,4,Evet
2026-09-05,2026,Eredivisie,Willem II,Excelsior,0 - 3,0 - 2,2,3,Yok
2026-09-06,2026,Eredivisie,Groningen,Twente,2 - 2,2 - 2,X,4,Evet
2026-09-06,2026,Eredivisie,Heerenveen,AZ Alkmaar,2 - 3,2 - 1,2,5,Evet
2026-09-06,2026,Eredivisie,Telstar,Cambuur,2 - 2,0 - 0,X,4,Evet
2026-09-06,2026,Eredivisie,ADO Den Haag,Fortuna Sittard,2 - 3,0 - 2,2,5,Evet
2026-09-08,2026,Eredivisie,Utrecht,GO Ahead Eagles,3 - 3,0 - 1,X,6,Evet
2026-09-08,2026,Eredivisie,NEC Nijmegen,Excelsior,2 - 2,1 - 1,X,4,Evet
2026-09-09,2026,Eredivisie,Twente,Telstar,1 - 0,0 - 0,1,1,Yok
2026-09-11,2026,Eredivisie,AZ Alkmaar,Willem II,1 - 1,1 - 0,X,2,Evet
2026-09-12,2026,Eredivisie,Twente,ADO Den Haag,2 - 0,0 - 0,1,2,Yok
2026-09-12,2026,Eredivisie,GO Ahead Eagles,Groningen,1 - 1,0 - 1,X,2,Evet
2026-09-12,2026,Eredivisie,Fortuna Sittard,Ajax,1 - 5,0 - 1,2,6,Evet
2026-09-12,2026,Eredivisie,Cambuur,NEC Nijmegen,3 - 0,1 - 0,1,3,Yok
2026-09-13,2026,Eredivisie,Excelsior,Utrecht,1 - 2,0 - 1,2,3,Evet
2026-09-13,2026,Eredivisie,Heerenveen,Telstar,0 - 0,0 - 0,X,0,Yok
