Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-03-06,2026,Virsliga,Rīgas FS,Ogre United,2 - 0,0 - 0,1,2,Yok
2026-03-07,2026,Virsliga,BFC Daugavpils,Grobiņa,0 - 1,0 - 0,2,1,Yok
2026-03-07,2026,Virsliga,FK Liepaja,Riga,2 - 1,1 - 0,1,3,Evet
2026-03-08,2026,Virsliga,FS Jelgava,Tukums,2 - 1,1 - 1,1,3,Evet
2026-03-08,2026,Virsliga,Auda,Super Nova,2 - 1,1 - 0,1,3,Evet
2026-03-13,2026,Virsliga,FK Liepaja,Rīgas FS,0 - 1,0 - 1,2,1,Yok
2026-03-14,2026,Virsliga,Grobiņa,Auda,0 - 2,0 - 1,2,2,Yok
2026-03-14,2026,Virsliga,Riga,BFC Daugavpils,4 - 2,2 - 0,1,6,Evet
2026-03-15,2026,Virsliga,Super Nova,FS Jelgava,1 - 1,0 - 1,X,2,Evet
2026-03-15,2026,Virsliga,Ogre United,Tukums,1 - 1,0 - 1,X,2,Evet
2026-03-20,2026,Virsliga,Auda,Riga,1 - 2,1 - 1,2,3,Evet
2026-03-20,2026,Virsliga,Ogre United,FK Liepaja,0 - 1,0 - 0,2,1,Yok
2026-03-21,2026,Virsliga,Rīgas FS,BFC Daugavpils,4 - 1,1 - 1,1,5,Evet
2026-03-21,2026,Virsliga,FS Jelgava,Grobiņa,0 - 1,0 - 1,2,1,Yok
2026-03-22,2026,Virsliga,Tukums,Super Nova,1 - 2,0 - 2,2,3,Evet
2026-04-03,2026,Virsliga,Ogre United,Super Nova,1 - 2,0 - 2,2,3,Evet
2026-04-03,2026,Virsliga,BFC Daugavpils,FK Liepaja,2 - 0,1 - 0,1,2,Yok
2026-04-04,2026,Virsliga,Rīgas FS,Auda,0 - 1,0 - 1,2,1,Yok
2026-04-04,2026,Virsliga,FS Jelgava,Riga,0 - 8,0 - 2,2,8,Yok
2026-04-05,2026,Virsliga,Tukums,Grobiņa,1 - 1,1 - 1,X,2,Evet
2026-04-07,2026,Virsliga,BFC Daugavpils,Ogre United,2 - 1,2 - 0,1,3,Evet
2026-04-08,2026,Virsliga,FK Liepaja,Auda,1 - 2,0 - 1,2,3,Evet
2026-04-08,2026,Virsliga,FS Jelgava,Rīgas FS,0 - 1,0 - 1,2,1,Yok
2026-04-09,2026,Virsliga,Grobiņa,Super Nova,0 - 1,0 - 0,2,1,Yok
2026-04-09,2026,Virsliga,Riga,Tukums,3 - 3,2 - 1,X,6,Evet
2026-04-12,2026,Virsliga,Auda,BFC Daugavpils,2 - 3,0 - 1,2,5,Evet
2026-04-12,2026,Virsliga,FK Liepaja,FS Jelgava,1 - 1,0 - 1,X,2,Evet
