Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-08-21,2026,Ligue 1,Marseille,Strasbourg,4 - 0,0 - 0,1,4,Yok
2026-08-22,2026,Ligue 1,Lens,Auxerre,5 - 2,1 - 0,1,7,Evet
2026-08-22,2026,Ligue 1,Nice,Lorient,0 - 0,0 - 0,X,0,Yok
2026-08-22,2026,Ligue 1,Toulouse,Lyon,0 - 2,0 - 0,2,2,Yok
2026-08-22,2026,Ligue 1,Estac Troyes,Paris FC,0 - 0,0 - 0,X,0,Yok
2026-08-22,2026,Ligue 1,Le Mans,Stade Brestois 29,2 - 2,1 - 1,X,4,Evet
2026-08-23,2026,Ligue 1,Angers,Lille,0 - 2,0 - 2,2,2,Yok
2026-08-23,2026,Ligue 1,Le Havre,Monaco,0 - 1,0 - 1,2,1,Yok
2026-08-23,2026,Ligue 1,Rennes,Paris Saint Germain,2 - 2,2 - 0,X,4,Evet
2026-08-28,2026,Ligue 1,Lille,Paris Saint Germain,2 - 2,1 - 0,X,4,Evet
2026-08-29,2026,Ligue 1,Strasbourg,Lens,2 - 1,0 - 1,1,3,Evet
2026-08-29,2026,Ligue 1,Lyon,Le Havre,1 - 1,0 - 0,X,2,Evet
2026-08-29,2026,Ligue 1,Lorient,Estac Troyes,1 - 2,0 - 2,2,3,Evet
2026-08-29,2026,Ligue 1,Stade Brestois 29,Toulouse,2 - 2,1 - 1,X,4,Evet
2026-08-29,2026,Ligue 1,Auxerre,Angers,1 - 3,1 - 1,2,4,Evet
2026-08-30,2026,Ligue 1,Paris FC,Nice,3 - 0,1 - 0,1,3,Yok
2026-08-30,2026,Ligue 1,Rennes,Le Mans,3 - 2,2 - 1,1,5,Evet
2026-08-30,2026,Ligue 1,Monaco,Marseille,2 - 0,1 - 0,1,2,Yok
2026-09-03,2026,Ligue 1,Toulouse,Lille,0 - 1,0 - 0,2,1,Yok
2026-09-04,2026,Ligue 1,Lyon,Auxerre,3 - 1,2 - 1,1,4,Evet
2026-09-04,2026,Ligue 1,Paris Saint Germain,Monaco,1 - 2,1 - 0,2,3,Evet
2026-09-05,2026,Ligue 1,Lens,Lorient,0 - 1,0 - 0,2,1,Yok
