Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-07-31,2026,Premiership,Dundee Utd,Rangers,1 - 1,1 - 0,X,2,Evet
2026-08-01,2026,Premiership,Falkirk,ST Mirren,0 - 2,0 - 1,2,2,Yok
2026-08-01,2026,Premiership,Aberdeen,Heart Of Midlothian,2 - 1,0 - 1,1,3,Evet
2026-08-02,2026,Premiership,ST Johnstone,Kilmarnock,4 - 3,1 - 1,1,7,Evet
2026-08-02,2026,Premiership,Hibernian,Motherwell,1 - 2,0 - 1,2,3,Evet
2026-08-03,2026,Premiership,Celtic,Dundee,1 - 0,0 - 0,1,1,Yok
2026-08-08,2026,Premiership,ST Mirren,ST Johnstone,1 - 0,0 - 0,1,1,Yok
2026-08-08,2026,Premiership,Dundee,Aberdeen,2 - 0,1 - 0,1,2,Yok
2026-08-09,2026,Premiership,Kilmarnock,Celtic,1 - 5,0 - 3,2,6,Evet
2026-08-09,2026,Premiership,Heart Of Midlothian,Dundee Utd,4 - 0,2 - 0,1,4,Yok
2026-08-09,2026,Premiership,Motherwell,Falkirk,0 - 0,0 - 0,X,0,Yok
2026-08-09,2026,Premiership,Rangers,Hibernian,1 - 2,0 - 1,2,3,Evet
2026-08-22,2026,Premiership,Dundee Utd,Dundee,0 - 2,0 - 1,2,2,Yok
2026-08-29,2026,Premiership,Celtic,Falkirk,2 - 1,2 - 0,1,3,Evet
2026-08-29,2026,Premiership,Kilmarnock,Dundee Utd,0 - 4,0 - 3,2,4,Yok
2026-08-29,2026,Premiership,Heart Of Midlothian,ST Johnstone,2 - 1,2 - 0,1,3,Evet
2026-08-30,2026,Premiership,Aberdeen,Rangers,0 - 1,0 - 0,2,1,Yok
2026-08-30,2026,Premiership,ST Mirren,Motherwell,3 - 3,3 - 2,X,6,Evet
2026-08-30,2026,Premiership,Dundee,Hibernian,1 - 2,0 - 1,2,3,Evet
2026-09-02,2026,Premiership,Celtic,Aberdeen,3 - 0,3 - 0,1,3,Yok
2026-09-02,2026,Premiership,Kilmarnock,ST Mirren,0 - 1,0 - 1,2,1,Yok
2026-09-02,2026,Premiership,Dundee,ST Johnstone,1 - 1,0 - 0,X,2,Evet
2026-09-02,2026,Premiership,Motherwell,Dundee Utd,3 - 0,1 - 0,1,3,Yok
2026-09-02,2026,Premiership,Falkirk,Rangers,1 - 2,1 - 1,2,3,Evet
2026-09-03,2026,Premiership,Hibernian,Heart Of Midlothian,1 - 3,0 - 2,2,4,Evet
2026-09-05,2026,Premiership,Aberdeen,Kilmarnock,0 - 0,0 - 0,X,0,Yok
2026-09-05,2026,Premiership,Rangers,Motherwell,1 - 0,1 - 0,1,1,Yok
2026-09-05,2026,Premiership,Dundee Utd,Falkirk,1 - 1,0 - 1,X,2,Evet
2026-09-05,2026,Premiership,ST Mirren,Celtic,1 - 2,1 - 0,2,3,Evet
2026-09-06,2026,Premiership,Heart Of Midlothian,Dundee,2 - 1,0 - 1,1,3,Evet
2026-09-06,2026,Premiership,ST Johnstone,Hibernian,2 - 1,2 - 1,1,3,Evet
2026-09-09,2026,Premiership,Rangers,ST Mirren,1 - 0,0 - 0,1,1,Yok
2026-09-09,2026,Premiership,ST Johnstone,Celtic,0 - 1,0 - 0,2,1,Yok
2026-09-15,2026,Premiership,Hibernian,Kilmarnock,0 - 1,0 - 1,2,1,Yok
2026-09-15,2026,Premiership,Motherwell,Aberdeen,0 - 4,0 - 1,2,4,Yok
2026-09-15,2026,Premiership,Falkirk,Heart Of Midlothian,2 - 1,1 - 1,1,3,Evet
2026-09-19,2026,Premiership,Hibernian,Aberdeen,1 - 1,0 - 1,X,2,Evet
2026-09-19,2026,Premiership,ST Mirren,Dundee Utd,0 - 3,0 - 3,2,3,Yok
2026-09-19,2026,Premiership,Dundee,Motherwell,2 - 1,2 - 1,1,3,Evet
2026-09-19,2026,Premiership,ST Johnstone,Falkirk,1 - 1,0 - 0,X,2,Evet
2026-09-19,2026,Premiership,Kilmarnock,Heart Of Midlothian,1 - 1,1 - 0,X,2,Evet
2026-09-20,2026,Premiership,Celtic,Rangers,0 - 1,0 - 1,2,1,Yok
2025-08-02,2025,Premiership,Kilmarnock,Livingston,2 - 2,2 - 0,X,4,Evet
2025-08-02,2025,Premiership,Motherwell,Rangers,1 - 1,0 - 1,X,2,Evet
2025-08-03,2025,Premiership,Falkirk,Dundee Utd,2 - 2,0 - 1,X,4,Evet
2025-08-03,2025,Premiership,Dundee,Hibernian,1 - 2,1 - 2,2,3,Evet
2025-08-03,2025,Premiership,Celtic,ST Mirren,1 - 0,0 - 0,1,1,Yok
2025-08-04,2025,Premiership,Heart Of Midlothian,Aberdeen,2 - 0,1 - 0,1,2,Yok
2025-08-09,2025,Premiership,ST Mirren,Motherwell,0 - 0,0 - 0,X,0,Yok
2025-08-09,2025,Premiership,Livingston,Falkirk,3 - 1,2 - 0,1,4,Evet
