Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-08-22,2026,Serie A,Udinese,Como,1 - 1,1 - 0,X,2,Evet
2026-08-22,2026,Serie A,Inter,Monza,4 - 1,1 - 1,1,5,Evet
2026-08-22,2026,Serie A,Genoa,Napoli,0 - 2,0 - 0,2,2,Yok
2026-08-22,2026,Serie A,Parma,Cagliari,0 - 1,0 - 0,2,1,Yok
2026-08-23,2026,Serie A,Frosinone,Juventus,0 - 1,0 - 1,2,1,Yok
2026-08-23,2026,Serie A,Venezia,Lecce,0 - 2,0 - 0,2,2,Yok
2026-08-23,2026,Serie A,Atalanta,Sassuolo,2 - 1,1 - 0,1,3,Evet
2026-08-23,2026,Serie A,Torino,AC Milan,1 - 2,0 - 0,2,3,Evet
2026-08-24,2026,Serie A,Bologna,Lazio,0 - 1,0 - 0,2,1,Yok
2026-08-24,2026,Serie A,AS Roma,Fiorentina,4 - 0,1 - 0,1,4,Yok
2026-08-28,2026,Serie A,AC Milan,Venezia,2 - 0,0 - 0,1,2,Yok
2026-08-29,2026,Serie A,Sassuolo,Torino,2 - 1,1 - 1,1,3,Evet
2026-08-29,2026,Serie A,Fiorentina,Frosinone,0 - 3,0 - 2,2,3,Yok
2026-08-29,2026,Serie A,Monza,Udinese,2 - 3,1 - 3,2,5,Evet
2026-08-29,2026,Serie A,Juventus,Parma,2 - 0,0 - 0,1,2,Yok
2026-08-30,2026,Serie A,Napoli,Como,1 - 2,1 - 2,2,3,Evet
2026-08-30,2026,Serie A,Lazio,Genoa,1 - 0,1 - 0,1,1,Yok
2026-08-30,2026,Serie A,Cagliari,Inter,0 - 1,0 - 1,2,1,Yok
2026-08-31,2026,Serie A,Lecce,AS Roma,0 - 4,0 - 3,2,4,Yok
2026-08-31,2026,Serie A,Atalanta,Bologna,1 - 0,0 - 0,1,1,Yok
2026-09-04,2026,Serie A,Genoa,Como,1 - 4,1 - 3,2,5,Evet
2026-09-05,2026,Serie A,Fiorentina,Torino,1 - 2,0 - 0,2,3,Evet
2026-09-05,2026,Serie A,Inter,Napoli,3 - 2,0 - 0,1,5,Evet
2026-09-05,2026,Serie A,AS Roma,Atalanta,2 - 1,0 - 0,1,3,Evet
2026-09-06,2026,Serie A,Frosinone,Venezia,3 - 2,2 - 0,1,5,Evet
2026-09-06,2026,Serie A,Parma,Monza,1 - 1,0 - 1,X,2,Evet
2026-09-06,2026,Serie A,Bologna,Sassuolo,2 - 2,0 - 1,X,4,Evet
2026-09-06,2026,Serie A,Juventus,AC Milan,1 - 1,0 - 0,X,2,Evet
2026-09-07,2026,Serie A,Cagliari,Lecce,1 - 0,1 - 0,1,1,Yok
2026-09-07,2026,Serie A,Udinese,Lazio,1 - 2,0 - 0,2,3,Evet
2026-09-11,2026,Serie A,Venezia,Fiorentina,2 - 4,1 - 2,2,6,Evet
2026-09-12,2026,Serie A,Genoa,Frosinone,1 - 1,0 - 1,X,2,Evet
2026-09-12,2026,Serie A,Lazio,AC Milan,2 - 2,2 - 0,X,4,Evet
2026-09-12,2026,Serie A,Atalanta,Cagliari,1 - 2,1 - 1,2,3,Evet
2026-09-13,2026,Serie A,Lecce,Monza,3 - 2,3 - 1,1,5,Evet
2026-09-13,2026,Serie A,Napoli,Bologna,1 - 0,0 - 0,1,1,Yok
2026-09-13,2026,Serie A,Sassuolo,Juventus,3 - 2,0 - 0,1,5,Evet
2026-09-14,2026,Serie A,Torino,AS Roma,0 - 2,0 - 1,2,2,Yok
2026-09-14,2026,Serie A,Como,Parma,2 - 1,1 - 0,1,3,Evet
2026-09-14,2026,Serie A,Inter,Udinese,5 - 3,2 - 2,1,8,Evet
2026-09-18,2026,Serie A,Monza,Sassuolo,2 - 1,0 - 0,1,3,Evet
2026-09-19,2026,Serie A,Udinese,Cagliari,0 - 1,0 - 0,2,1,Yok
2026-09-19,2026,Serie A,Bologna,Torino,1 - 1,1 - 0,X,2,Evet
2026-09-19,2026,Serie A,AS Roma,Inter,2 - 2,2 - 0,X,4,Evet
2026-09-19,2026,Serie A,Venezia,Lazio,0 - 2,0 - 0,2,2,Yok
2026-09-20,2026,Serie A,Fiorentina,Napoli,1 - 1,0 - 1,X,2,Evet
2026-09-20,2026,Serie A,Frosinone,Como,2 - 0,2 - 0,1,2,Yok
2026-09-20,2026,Serie A,Parma,Genoa,2 - 1,1 - 0,1,3,Evet
2026-09-20,2026,Serie A,Juventus,Atalanta,2 - 0,1 - 0,1,2,Yok
