Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-07-25,2026,Super League,Lausanne,Grasshoppers,1 - 1,1 - 0,X,2,Evet
2026-07-25,2026,Super League,Servette FC,FC Basel 1893,0 - 1,0 - 0,2,1,Yok
2026-07-25,2026,Super League,FC Luzern,FC Thun,1 - 3,1 - 1,2,4,Evet
2026-07-26,2026,Super League,BSC Young Boys,FC Sion,4 - 2,2 - 1,1,6,Evet
2026-07-26,2026,Super League,FC Lugano,FC Vaduz,2 - 1,2 - 0,1,3,Evet
2026-07-26,2026,Super League,FC ST. Gallen,FC Zurich,2 - 1,0 - 0,1,3,Evet
2026-08-01,2026,Super League,FC Basel 1893,Lausanne,0 - 1,0 - 0,2,1,Yok
2026-08-01,2026,Super League,FC Zurich,Servette FC,2 - 1,1 - 0,1,3,Evet
2026-08-01,2026,Super League,FC Thun,BSC Young Boys,0 - 6,0 - 3,2,6,Yok
2026-08-02,2026,Super League,FC Vaduz,FC ST. Gallen,2 - 3,1 - 1,2,5,Evet
2026-08-02,2026,Super League,FC Sion,FC Luzern,3 - 0,1 - 0,1,3,Yok
2026-08-02,2026,Super League,Grasshoppers,FC Lugano,1 - 4,1 - 0,2,5,Evet
2026-08-08,2026,Super League,Lausanne,BSC Young Boys,2 - 2,0 - 0,X,4,Evet
2026-08-08,2026,Super League,Servette FC,Grasshoppers,2 - 1,1 - 1,1,3,Evet
2026-08-09,2026,Super League,FC Lugano,FC Zurich,5 - 0,2 - 0,1,5,Yok
2026-08-09,2026,Super League,FC Basel 1893,FC Thun,4 - 2,2 - 0,1,6,Evet
2026-08-09,2026,Super League,FC Sion,FC Vaduz,3 - 2,1 - 2,1,5,Evet
2026-08-09,2026,Super League,FC ST. Gallen,FC Luzern,2 - 2,1 - 0,X,4,Evet
2026-08-22,2026,Super League,FC Luzern,Lausanne,1 - 0,1 - 0,1,1,Yok
2026-08-22,2026,Super League,FC Zurich,FC Basel 1893,1 - 2,1 - 0,2,3,Evet
2026-08-23,2026,Super League,BSC Young Boys,FC Vaduz,4 - 2,2 - 2,1,6,Evet
2026-08-29,2026,Super League,Lausanne,FC Zurich,2 - 3,1 - 0,2,5,Evet
2026-08-29,2026,Super League,Servette FC,FC Luzern,1 - 1,1 - 1,X,2,Evet
2026-08-29,2026,Super League,BSC Young Boys,FC Basel 1893,3 - 3,3 - 2,X,6,Evet
2026-08-30,2026,Super League,FC Sion,FC Lugano,1 - 2,0 - 1,2,3,Evet
2026-08-30,2026,Super League,FC Vaduz,Grasshoppers,5 - 2,2 - 2,1,7,Evet
2026-08-30,2026,Super League,FC ST. Gallen,FC Thun,3 - 4,0 - 1,2,7,Evet
2026-09-01,2026,Super League,FC Zurich,BSC Young Boys,2 - 4,1 - 2,2,6,Evet
2026-09-02,2026,Super League,FC Luzern,FC Vaduz,2 - 1,0 - 0,1,3,Evet
2026-09-02,2026,Super League,FC Thun,Lausanne,0 - 0,0 - 0,X,0,Yok
2026-09-02,2026,Super League,Grasshoppers,FC ST. Gallen,2 - 0,1 - 0,1,2,Yok
2026-09-03,2026,Super League,FC Basel 1893,FC Sion,1 - 2,1 - 0,2,3,Evet
2026-09-03,2026,Super League,FC Lugano,Servette FC,1 - 0,0 - 0,1,1,Yok
2026-09-05,2026,Super League,BSC Young Boys,FC Luzern,3 - 3,1 - 0,X,6,Evet
2026-09-05,2026,Super League,FC Vaduz,Lausanne,3 - 1,1 - 1,1,4,Evet
2026-09-05,2026,Super League,Grasshoppers,FC Zurich,2 - 2,0 - 0,X,4,Evet
2026-09-06,2026,Super League,Servette FC,FC ST. Gallen,0 - 2,0 - 1,2,2,Yok
2026-09-06,2026,Super League,FC Basel 1893,FC Lugano,1 - 3,0 - 0,2,4,Evet
2026-09-06,2026,Super League,FC Sion,FC Thun,3 - 2,1 - 1,1,5,Evet
2026-09-12,2026,Super League,FC ST. Gallen,FC Sion,0 - 3,0 - 2,2,3,Yok
2026-09-12,2026,Super League,FC Thun,Grasshoppers,0 - 1,0 - 1,2,1,Yok
2026-09-12,2026,Super League,FC Lugano,BSC Young Boys,2 - 2,1 - 2,X,4,Evet
2026-09-13,2026,Super League,FC Zurich,FC Vaduz,2 - 1,0 - 1,1,3,Evet
2026-09-13,2026,Super League,FC Luzern,FC Basel 1893,2 - 4,1 - 2,2,6,Evet
2026-09-13,2026,Super League,Lausanne,Servette FC,0 - 1,0 - 0,2,1,Yok
2026-09-15,2026,Super League,Grasshoppers,FC Sion,2 - 5,1 - 1,2,7,Evet
2026-09-16,2026,Super League,FC Lugano,FC ST. Gallen,4 - 1,4 - 0,1,5,Evet
2026-09-16,2026,Super League,FC Thun,Servette FC,2 - 4,1 - 2,2,6,Evet
2026-09-19,2026,Super League,BSC Young Boys,Servette FC,3 - 2,1 - 2,1,5,Evet
2026-09-19,2026,Super League,FC Sion,FC Zurich,1 - 1,1 - 1,X,2,Evet
2026-09-19,2026,Super League,FC Luzern,Grasshoppers,5 - 1,2 - 0,1,6,Evet
2026-09-20,2026,Super League,FC Vaduz,FC Thun,1 - 2,0 - 1,2,3,Evet
2026-09-20,2026,Super League,FC Basel 1893,FC ST. Gallen,1 - 3,1 - 1,2,4,Evet
2026-09-20,2026,Super League,Lausanne,FC Lugano,0 - 4,0 - 1,2,4,Yok
2025-07-25,2025,Super League,FC Zurich,FC Sion,2 - 3,1 - 0,2,5,Evet
2025-07-26,2025,Super League,FC ST. Gallen,FC Basel 1893,2 - 1,0 - 1,1,3,Evet
2025-07-26,2025,Super League,Grasshoppers,FC Luzern,2 - 3,2 - 2,2,5,Evet
2025-07-26,2025,Super League,BSC Young Boys,Servette FC,3 - 1,2 - 1,1,4,Evet
2025-07-27,2025,Super League,FC Lugano,FC Thun,1 - 2,1 - 0,2,3,Evet
2025-07-27,2025,Super League,Lausanne,FC Winterthur,3 - 2,0 - 1,1,5,Evet
2025-08-02,2025,Super League,FC Winterthur,BSC Young Boys,1 - 1,0 - 1,X,2,Evet
2025-08-02,2025,Super League,Servette FC,FC ST. Gallen,1 - 4,1 - 3,2,5,Evet
2025-08-02,2025,Super League,FC Basel 1893,Grasshoppers,2 - 1,1 - 0,1,3,Evet
2025-08-03,2025,Super League,FC Thun,Lausanne,2 - 1,1 - 0,1,3,Evet
2025-08-03,2025,Super League,FC Sion,FC Lugano,4 - 0,2 - 0,1,4,Yok
2025-08-03,2025,Super League,FC Luzern,FC Zurich,1 - 1,0 - 0,X,2,Evet
2025-08-06,2025,Super League,FC Basel 1893,BSC Young Boys,4 - 1,1 - 1,1,5,Evet
2025-08-09,2025,Super League,FC ST. Gallen,FC Winterthur,5 - 0,3 - 0,1,5,Yok
2025-08-09,2025,Super League,FC Luzern,FC Thun,1 - 2,1 - 1,2,3,Evet
2025-08-10,2025,Super League,BSC Young Boys,FC Sion,0 - 0,0 - 0,X,0,Yok
2025-08-10,2025,Super League,FC Lugano,FC Basel 1893,3 - 1,2 - 0,1,4,Evet
2025-08-10,2025,Super League,Lausanne,FC Zurich,1 - 2,1 - 1,2,3,Evet
2025-08-10,2025,Super League,Servette FC,Grasshoppers,1 - 1,0 - 1,X,2,Evet
2025-08-23,2025,Super League,FC Zurich,FC Thun,0 - 4,0 - 2,2,4,Yok
2025-08-24,2025,Super League,Grasshoppers,FC Winterthur,2 - 2,1 - 0,X,4,Evet
2025-08-24,2025,Super League,FC ST. Gallen,FC Luzern,0 - 1,0 - 1,2,1,Yok
2025-08-30,2025,Super League,FC Thun,Grasshoppers,1 - 1,0 - 0,X,2,Evet
2025-08-30,2025,Super League,FC Winterthur,FC Zurich,1 - 3,0 - 0,2,4,Evet
2025-08-30,2025,Super League,FC Sion,FC Basel 1893,0 - 1,0 - 1,2,1,Yok
2025-08-31,2025,Super League,Lausanne,FC ST. Gallen,1 - 2,0 - 0,2,3,Evet
2025-08-31,2025,Super League,BSC Young Boys,FC Lugano,3 - 1,1 - 1,1,4,Evet
2025-08-31,2025,Super League,Servette FC,FC Luzern,2 - 2,0 - 1,X,4,Evet
2025-09-13,2025,Super League,FC Zurich,Servette FC,2 - 1,2 - 0,1,3,Evet
2025-09-13,2025,Super League,FC Thun,FC Basel 1893,1 - 3,0 - 2,2,4,Evet
2025-09-13,2025,Super League,FC ST. Gallen,FC Lugano,1 - 0,1 - 0,1,1,Yok
2025-09-14,2025,Super League,FC Winterthur,FC Sion,2 - 3,1 - 3,2,5,Evet
2025-09-14,2025,Super League,FC Luzern,BSC Young Boys,1 - 2,0 - 0,2,3,Evet
2025-09-14,2025,Super League,Grasshoppers,Lausanne,3 - 1,1 - 0,1,4,Evet
2025-09-17,2025,Super League,FC Lugano,Lausanne,1 - 1,1 - 0,X,2,Evet
2025-09-17,2025,Super League,FC Sion,Servette FC,0 - 2,0 - 0,2,2,Yok
2025-09-27,2025,Super League,FC Lugano,Grasshoppers,2 - 1,0 - 0,1,3,Evet
2025-09-27,2025,Super League,Servette FC,FC Winterthur,4 - 0,1 - 0,1,4,Yok
2025-09-27,2025,Super League,FC Zurich,FC ST. Gallen,3 - 1,0 - 1,1,4,Evet
2025-09-28,2025,Super League,BSC Young Boys,FC Thun,4 - 2,0 - 0,1,6,Evet
2025-09-28,2025,Super League,FC Basel 1893,FC Luzern,1 - 2,0 - 1,2,3,Evet
2025-09-28,2025,Super League,FC Sion,Lausanne,0 - 0,0 - 0,X,0,Yok
2025-10-04,2025,Super League,FC Luzern,FC Sion,3 - 3,2 - 0,X,6,Evet
2025-10-04,2025,Super League,FC ST. Gallen,FC Thun,1 - 2,1 - 2,2,3,Evet
2025-10-04,2025,Super League,Grasshoppers,FC Zurich,3 - 0,1 - 0,1,3,Yok
2025-10-05,2025,Super League,Lausanne,BSC Young Boys,5 - 0,2 - 0,1,5,Yok
2025-10-05,2025,Super League,FC Winterthur,FC Lugano,2 - 4,1 - 0,2,6,Evet
2025-10-05,2025,Super League,Servette FC,FC Basel 1893,0 - 3,0 - 2,2,3,Yok
2025-10-18,2025,Super League,FC Basel 1893,FC Winterthur,3 - 0,3 - 0,1,3,Yok
2025-10-18,2025,Super League,FC Thun,Servette FC,3 - 1,2 - 1,1,4,Evet
2025-10-18,2025,Super League,FC Lugano,FC Zurich,1 - 0,1 - 0,1,1,Yok
2025-10-19,2025,Super League,Grasshoppers,FC Sion,0 - 1,0 - 0,2,1,Yok
2025-10-19,2025,Super League,BSC Young Boys,FC ST. Gallen,1 - 2,0 - 0,2,3,Evet
2025-10-19,2025,Super League,FC Luzern,Lausanne,2 - 2,0 - 0,X,4,Evet
2025-10-25,2025,Super League,FC Sion,FC Thun,0 - 1,0 - 1,2,1,Yok
2025-10-25,2025,Super League,FC ST. Gallen,Grasshoppers,5 - 0,3 - 0,1,5,Yok
2025-10-25,2025,Super League,FC Winterthur,FC Luzern,2 - 2,2 - 0,X,4,Evet
2025-10-26,2025,Super League,FC Zurich,BSC Young Boys,2 - 3,2 - 1,2,5,Evet
2025-10-26,2025,Super League,Lausanne,FC Basel 1893,5 - 1,3 - 0,1,6,Evet
2025-10-26,2025,Super League,Servette FC,FC Lugano,2 - 1,1 - 1,1,3,Evet
2025-10-28,2025,Super League,FC Sion,FC ST. Gallen,3 - 2,3 - 1,1,5,Evet
2025-10-28,2025,Super League,FC Thun,FC Winterthur,3 - 0,2 - 0,1,3,Yok
2025-10-29,2025,Super League,FC Basel 1893,FC Zurich,2 - 0,1 - 0,1,2,Yok
2025-10-29,2025,Super League,Lausanne,Servette FC,1 - 3,0 - 0,2,4,Evet
2025-10-30,2025,Super League,FC Lugano,FC Luzern,2 - 0,0 - 0,1,2,Yok
2025-10-30,2025,Super League,Grasshoppers,BSC Young Boys,3 - 3,2 - 1,X,6,Evet
2025-11-01,2025,Super League,FC Thun,FC Sion,2 - 1,1 - 1,1,3,Evet
2025-11-01,2025,Super League,FC Winterthur,Servette FC,4 - 2,0 - 1,1,6,Evet
2025-11-01,2025,Super League,FC Zurich,Lausanne,1 - 2,1 - 1,2,3,Evet
2025-11-02,2025,Super League,BSC Young Boys,FC Basel 1893,0 - 0,0 - 0,X,0,Yok
2025-11-02,2025,Super League,FC Luzern,Grasshoppers,6 - 0,3 - 0,1,6,Yok
2025-11-08,2025,Super League,FC Zurich,FC Luzern,3 - 2,0 - 2,1,5,Evet
2025-11-08,2025,Super League,FC Winterthur,Grasshoppers,0 - 1,0 - 0,2,1,Yok
2025-11-08,2025,Super League,Servette FC,FC Thun,0 - 1,0 - 0,2,1,Yok
2025-11-09,2025,Super League,FC Basel 1893,FC Lugano,0 - 1,0 - 0,2,1,Yok
2025-11-09,2025,Super League,FC ST. Gallen,BSC Young Boys,1 - 4,1 - 2,2,5,Evet
2025-11-09,2025,Super League,Lausanne,FC Sion,2 - 2,2 - 2,X,4,Evet
2025-11-22,2025,Super League,BSC Young Boys,FC Winterthur,5 - 0,4 - 0,1,5,Yok
2025-11-22,2025,Super League,FC Luzern,Servette FC,2 - 2,2 - 0,X,4,Evet
2025-11-22,2025,Super League,FC Thun,FC Lugano,0 - 1,0 - 0,2,1,Yok
2025-11-23,2025,Super League,FC Sion,FC Zurich,2 - 2,2 - 1,X,4,Evet
2025-11-23,2025,Super League,FC ST. Gallen,Lausanne,1 - 0,0 - 0,1,1,Yok
2025-11-23,2025,Super League,Grasshoppers,FC Basel 1893,1 - 1,1 - 1,X,2,Evet
