Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-07-24,2026,Superliga,Viborg,Odense,1 - 0,0 - 0,1,1,Yok
2026-07-25,2026,Superliga,Aarhus,Brondby,1 - 1,0 - 0,X,2,Evet
2026-07-26,2026,Superliga,Sonderjyske,FC Midtjylland,2 - 3,2 - 2,2,5,Evet
2026-07-26,2026,Superliga,FC Copenhagen,Lyngby,3 - 2,1 - 2,1,5,Evet
2026-07-26,2026,Superliga,AC Horsens,FC Nordsjaelland,1 - 1,1 - 1,X,2,Evet
2026-07-27,2026,Superliga,Randers FC,Silkeborg,1 - 1,1 - 1,X,2,Evet
2026-08-01,2026,Superliga,Lyngby,Aarhus,2 - 2,0 - 1,X,4,Evet
2026-08-02,2026,Superliga,FC Midtjylland,AC Horsens,2 - 1,2 - 0,1,3,Evet
2026-08-02,2026,Superliga,FC Nordsjaelland,Randers FC,1 - 0,0 - 0,1,1,Yok
2026-08-02,2026,Superliga,Brondby,Viborg,1 - 0,0 - 0,1,1,Yok
2026-08-02,2026,Superliga,Silkeborg,FC Copenhagen,1 - 3,1 - 2,2,4,Evet
2026-08-03,2026,Superliga,Odense,Sonderjyske,1 - 0,0 - 0,1,1,Yok
2026-08-07,2026,Superliga,Sonderjyske,Viborg,0 - 0,0 - 0,X,0,Yok
2026-08-09,2026,Superliga,Randers FC,Lyngby,2 - 0,1 - 0,1,2,Yok
2026-08-09,2026,Superliga,AC Horsens,Brondby,0 - 2,0 - 1,2,2,Yok
2026-08-10,2026,Superliga,Silkeborg,Odense,1 - 0,0 - 0,1,1,Yok
2026-08-14,2026,Superliga,Viborg,Aarhus,2 - 1,1 - 1,1,3,Evet
2026-08-16,2026,Superliga,FC Nordsjaelland,Silkeborg,1 - 0,0 - 0,1,1,Yok
2026-08-16,2026,Superliga,Odense,AC Horsens,1 - 2,1 - 1,2,3,Evet
2026-08-16,2026,Superliga,Lyngby,FC Midtjylland,1 - 1,0 - 0,X,2,Evet
2026-08-16,2026,Superliga,Randers FC,FC Copenhagen,0 - 4,0 - 3,2,4,Yok
2026-08-17,2026,Superliga,Brondby,Sonderjyske,3 - 2,3 - 0,1,5,Evet
2026-08-23,2026,Superliga,Sonderjyske,FC Nordsjaelland,0 - 3,0 - 1,2,3,Yok
2026-08-23,2026,Superliga,FC Midtjylland,Randers FC,1 - 0,1 - 0,1,1,Yok
2026-08-23,2026,Superliga,Aarhus,Odense,2 - 2,1 - 2,X,4,Evet
2026-08-23,2026,Superliga,AC Horsens,Lyngby,2 - 1,1 - 0,1,3,Evet
2026-08-23,2026,Superliga,Viborg,FC Copenhagen,4 - 0,3 - 0,1,4,Yok
2026-08-24,2026,Superliga,Brondby,Silkeborg,3 - 1,0 - 1,1,4,Evet
2026-08-28,2026,Superliga,AC Horsens,Viborg,2 - 3,0 - 2,2,5,Evet
2026-08-30,2026,Superliga,Lyngby,Odense,1 - 1,0 - 0,X,2,Evet
2026-08-30,2026,Superliga,Silkeborg,FC Midtjylland,1 - 1,1 - 0,X,2,Evet
2026-08-30,2026,Superliga,Randers FC,Aarhus,2 - 1,2 - 0,1,3,Evet
2026-08-30,2026,Superliga,FC Nordsjaelland,Brondby,3 - 1,2 - 0,1,4,Evet
2026-08-31,2026,Superliga,FC Copenhagen,Sonderjyske,3 - 1,2 - 1,1,4,Evet
2026-09-02,2026,Superliga,Aarhus,FC Midtjylland,0 - 2,0 - 1,2,2,Yok
2026-09-03,2026,Superliga,FC Copenhagen,FC Nordsjaelland,2 - 0,2 - 0,1,2,Yok
2026-09-04,2026,Superliga,Viborg,Lyngby,0 - 2,0 - 1,2,2,Yok
2026-09-05,2026,Superliga,Aarhus,Silkeborg,2 - 2,0 - 2,X,4,Evet
2026-09-06,2026,Superliga,Sonderjyske,AC Horsens,2 - 5,1 - 2,2,7,Evet
2026-09-06,2026,Superliga,Odense,FC Copenhagen,0 - 5,0 - 2,2,5,Yok
2026-09-06,2026,Superliga,Brondby,Randers FC,0 - 3,0 - 1,2,3,Yok
2026-09-07,2026,Superliga,FC Midtjylland,FC Nordsjaelland,2 - 2,0 - 0,X,4,Evet
2026-09-11,2026,Superliga,FC Copenhagen,AC Horsens,2 - 0,1 - 0,1,2,Yok
2026-09-13,2026,Superliga,Lyngby,Sonderjyske,1 - 1,1 - 0,X,2,Evet
2026-09-13,2026,Superliga,Silkeborg,Viborg,1 - 1,1 - 0,X,2,Evet
2026-09-13,2026,Superliga,Randers FC,Odense,1 - 2,0 - 1,2,3,Evet
2026-09-13,2026,Superliga,FC Nordsjaelland,Aarhus,2 - 0,0 - 0,1,2,Yok
2026-09-14,2026,Superliga,FC Midtjylland,Brondby,4 - 1,2 - 0,1,5,Evet
2026-09-18,2026,Superliga,Lyngby,Silkeborg,0 - 4,0 - 1,2,4,Yok
