Tarih,Sezon,Kupa / Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-07-09,2026,UEFA Europa League,Qarabag,Vestri,3 - 0,2 - 0,1,3,Yok
2026-07-09,2026,UEFA Europa League,Sheriff Tiraspol,Aluminij,0 - 0,0 - 0,X,0,Yok
2026-07-09,2026,UEFA Europa League,Dynamo Kyiv,Universitatea Cluj,0 - 0,0 - 0,X,0,Yok
2026-07-09,2026,UEFA Europa League,HNK Hajduk Split,Žilina,2 - 0,1 - 0,1,2,Yok
2026-07-09,2026,UEFA Europa League,Vojvodina,Ferencvarosi TC,1 - 2,1 - 1,2,3,Evet
2026-07-09,2026,UEFA Europa League,CSKA Sofia,Derry City,3 - 2,2 - 1,1,5,Evet
2026-07-16,2026,UEFA Europa League,Derry City,CSKA Sofia,1 - 2,0 - 0,2,3,Evet
2026-07-16,2026,UEFA Europa League,Universitatea Cluj,Dynamo Kyiv,0 - 0,0 - 0,X,0,Yok
2026-07-16,2026,UEFA Europa League,Aluminij,Sheriff Tiraspol,0 - 1,0 - 1,2,1,Yok
2026-07-16,2026,UEFA Europa League,Ferencvarosi TC,Vojvodina,3 - 0,2 - 0,1,3,Yok
2026-07-16,2026,UEFA Europa League,Žilina,HNK Hajduk Split,2 - 1,0 - 1,1,3,Evet
2026-07-16,2026,UEFA Europa League,Vestri,Qarabag,0 - 3,0 - 2,2,3,Yok
2026-07-23,2026,UEFA Europa League,Qarabag,CSKA Sofia,0 - 0,0 - 0,X,0,Yok
2026-07-23,2026,UEFA Europa League,Tromso,Hradec Králové,0 - 1,0 - 0,2,1,Yok
2026-07-23,2026,UEFA Europa League,Hammarby FF,Anderlecht,1 - 1,0 - 1,X,2,Evet
2026-07-23,2026,UEFA Europa League,Sheriff Tiraspol,Maccabi Tel Aviv,0 - 5,0 - 2,2,5,Yok
2026-07-23,2026,UEFA Europa League,Dynamo Kyiv,PAOK,2 - 3,1 - 2,2,5,Evet
2026-07-23,2026,UEFA Europa League,Twente,Ferencvarosi TC,1 - 2,1 - 1,2,3,Evet
2026-07-23,2026,UEFA Europa League,Beşiktaş,FC Midtjylland,1 - 0,1 - 0,1,1,Yok
2026-07-23,2026,UEFA Europa League,FC ST. Gallen,Benfica,2 - 1,1 - 1,1,3,Evet
2026-07-23,2026,UEFA Europa League,HNK Hajduk Split,Pafos,2 - 0,0 - 0,1,2,Yok
2026-07-30,2026,UEFA Europa League,Maccabi Tel Aviv,Sheriff Tiraspol,1 - 0,1 - 0,1,1,Yok
2026-07-30,2026,UEFA Europa League,FC Midtjylland,Beşiktaş,0 - 2,0 - 0,2,2,Yok
2026-07-30,2026,UEFA Europa League,Pafos,HNK Hajduk Split,2 - 0,1 - 0,1,2,Yok
2026-07-30,2026,UEFA Europa League,Hradec Králové,Tromso,3 - 1,1 - 1,1,4,Evet
2026-07-30,2026,UEFA Europa League,PAOK,Dynamo Kyiv,2 - 0,1 - 0,1,2,Yok
2026-07-30,2026,UEFA Europa League,CSKA Sofia,Qarabag,0 - 0,0 - 0,X,0,Yok
2026-07-30,2026,UEFA Europa League,Anderlecht,Hammarby FF,3 - 1,0 - 1,1,4,Evet
2026-07-30,2026,UEFA Europa League,Ferencvarosi TC,Twente,2 - 2,1 - 0,X,4,Evet
2026-07-30,2026,UEFA Europa League,Benfica,FC ST. Gallen,5 - 0,1 - 0,1,5,Yok
2026-08-04,2026,UEFA Europa League,Shamrock Rovers,Egnatia Rrogozhinë,3 - 1,1 - 1,1,4,Evet
2026-08-04,2026,UEFA Europa League,Larne,FC Iberia 1999,0 - 0,0 - 0,X,0,Yok
2026-08-05,2026,UEFA Europa League,Ferencvarosi TC,Gornik Zabrze,1 - 0,0 - 0,1,1,Yok
2026-08-06,2026,UEFA Europa League,KuPS,Universitatea Craiova,1 - 1,0 - 1,X,2,Evet
2026-08-06,2026,UEFA Europa League,Jagiellonia,Rangers,2 - 1,2 - 1,1,3,Evet
