Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-07-07,2026,UEFA Champions League,Lincoln Red Imps FC,Inter Club d'Escaldes,3 - 1,2 - 1,1,4,Evet
2026-07-07,2026,UEFA Champions League,Ararat-Armenia,Riga,2 - 0,0 - 0,1,2,Yok
2026-07-07,2026,UEFA Champions League,Kauno Žalgiris,Drita,1 - 1,1 - 0,X,2,Evet
2026-07-07,2026,UEFA Champions League,Sabah FA,The New Saints,2 - 0,0 - 0,1,2,Yok
2026-07-07,2026,UEFA Champions League,Vardar Skopje,KuPS,0 - 2,0 - 1,2,2,Yok
2026-07-07,2026,UEFA Champions League,Floriana,Shamrock Rovers,2 - 0,1 - 0,1,2,Yok
2026-07-07,2026,UEFA Champions League,Tre Fiori,Larne,0 - 1,0 - 1,2,1,Yok
2026-07-07,2026,UEFA Champions League,Borac Banja Luka,Levski Sofia,1 - 1,1 - 0,X,2,Evet
2026-07-07,2026,UEFA Champions League,KI Klaksvik,Atert Bissen,2 - 1,1 - 0,1,3,Evet
2026-07-07,2026,UEFA Champions League,Vikingur Reykjavik,Gyori ETO FC,1 - 0,0 - 0,1,1,Yok
2026-07-08,2026,UEFA Champions League,Kairat Almaty,Sutjeska,2 - 1,0 - 0,1,3,Evet
2026-07-08,2026,UEFA Champions League,Flora Tallinn,FC Iberia 1999,2 - 3,1 - 2,2,5,Evet
2026-07-08,2026,UEFA Champions League,Petrocub,Egnatia Rrogozhinë,1 - 1,1 - 1,X,2,Evet
2026-07-08,2026,UEFA Champions League,ML Vitebsk,Universitatea Craiova,1 - 4,1 - 3,2,5,Evet
2026-07-14,2026,UEFA Champions League,KuPS,Vardar Skopje,2 - 3,0 - 0,2,5,Evet
2026-07-14,2026,UEFA Champions League,Inter Club d'Escaldes,Lincoln Red Imps FC,1 - 1,0 - 0,X,2,Evet
