Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2026-07-31,2026,Premier League,Zorya Luhansk,Kolos Kovalivka,2 - 0,0 - 0,1,2,Yok
2026-08-01,2026,Premier League,Kryvbas KR,Karpaty,1 - 4,1 - 1,2,5,Evet
2026-08-01,2026,Premier League,FC Kharkiv,Veres Rivne,1 - 0,0 - 0,1,1,Yok
2026-08-02,2026,Premier League,Chornomorets,Polessya,1 - 2,1 - 1,2,3,Evet
2026-08-02,2026,Premier League,Epitsentr Dunayivtsi,Obolon'-Brovar,3 - 0,0 - 0,1,3,Yok
2026-08-03,2026,Premier League,Bukovyna,LNZ Cherkasy,0 - 0,0 - 0,X,0,Yok
2026-08-03,2026,Premier League,Shakhtar Donetsk,Kudrivka,5 - 1,1 - 1,1,6,Evet
2026-08-08,2026,Premier League,Livyi Bereh,Kudrivka,0 - 0,0 - 0,X,0,Yok
2026-08-08,2026,Premier League,Bukovyna,Obolon'-Brovar,0 - 0,0 - 0,X,0,Yok
2026-08-09,2026,Premier League,Zorya Luhansk,Kryvbas KR,1 - 3,1 - 0,2,4,Evet
2026-08-09,2026,Premier League,Epitsentr Dunayivtsi,Shakhtar Donetsk,0 - 2,0 - 0,2,2,Yok
2026-08-09,2026,Premier League,Veres Rivne,Dynamo Kyiv,1 - 2,0 - 1,2,3,Evet
2026-08-10,2026,Premier League,Polessya,FC Kharkiv,3 - 1,1 - 0,1,4,Evet
2026-08-10,2026,Premier League,Karpaty,LNZ Cherkasy,3 - 0,0 - 0,1,3,Yok
2026-08-14,2026,Premier League,Epitsentr Dunayivtsi,Veres Rivne,0 - 0,0 - 0,X,0,Yok
2026-08-15,2026,Premier League,Kryvbas KR,Livyi Bereh,1 - 1,1 - 0,X,2,Evet
2026-08-15,2026,Premier League,Kudrivka,Obolon'-Brovar,0 - 0,0 - 0,X,0,Yok
2026-08-15,2026,Premier League,Karpaty,Bukovyna,3 - 0,2 - 0,1,3,Yok
2026-08-16,2026,Premier League,LNZ Cherkasy,Chornomorets,2 - 0,1 - 0,1,2,Yok
2026-08-16,2026,Premier League,FC Kharkiv,Shakhtar Donetsk,0 - 1,0 - 1,2,1,Yok
2026-08-16,2026,Premier League,Dynamo Kyiv,Kolos Kovalivka,2 - 1,1 - 1,1,3,Evet
2026-08-17,2026,Premier League,Polessya,Zorya Luhansk,1 - 2,1 - 0,2,3,Evet
2026-08-28,2026,Premier League,Kolos Kovalivka,Obolon'-Brovar,0 - 0,0 - 0,X,0,Yok
2026-08-29,2026,Premier League,Kudrivka,Epitsentr Dunayivtsi,0 - 3,0 - 1,2,3,Yok
2026-08-29,2026,Premier League,Livyi Bereh,Karpaty,1 - 1,0 - 0,X,2,Evet
2026-08-29,2026,Premier League,Shakhtar Donetsk,Polessya,0 - 2,0 - 1,2,2,Yok
2026-08-30,2026,Premier League,Chornomorets,Kryvbas KR,1 - 0,0 - 0,1,1,Yok
2026-08-30,2026,Premier League,LNZ Cherkasy,Veres Rivne,0 - 1,0 - 0,2,1,Yok
2026-08-31,2026,Premier League,Zorya Luhansk,FC Kharkiv,0 - 3,0 - 1,2,3,Yok
2026-08-31,2026,Premier League,Bukovyna,Dynamo Kyiv,3 - 0,1 - 0,1,3,Yok
